camera,label,pixel_x,pixel_y,world_x_cm,world_y_cm
cam1,A,1012,213,0.0,0.0
cam1,B,972,64,20.0,0.0
cam1,C,688,68,20.0,30.0
cam1,D,693,212,0.0,30.0
cam2,A,316,84,0.0,0.0
cam2,B,283,247,20.0,0.0
cam2,C,638,252,20.0,30.0
cam2,D,629,91,0.0,30.0
