camera,label,pixel_x,pixel_y,world_x_cm,world_y_cm
cam1,A,902,227,0.0,0.0
cam1,B,888,92,12.0,0.0
cam1,C,485,100,12.0,30.0
cam1,D,465,230,0.0,30.0
cam2,A,551,104,0.0,0.0
cam2,B,530,214,12.0,0.0
cam2,C,926,211,12.0,30.0
cam2,D,915,99,0.0,30.0
