camera,label,pixel_x,pixel_y,world_x_cm,world_y_cm
cam1,A,898,237,0.0,0.0
cam1,B,877,108,12.0,0.0
cam1,C,478,89,12.0,30.0
cam1,D,464,222,0.0,30.0
cam2,A,532,106,0.0,0.0
cam2,B,517,219,12.0,0.0
cam2,C,911,215,12.0,30.0
cam2,D,894,103,0.0,30.0
