camera,label,pixel_x,pixel_y,world_x_cm,world_y_cm
cam1,A,1004,222,0.0,0.0
cam1,B,962,87,20.0,0.0
cam1,C,686,87,20.0,30.0
cam1,D,690,224,0.0,30.0
cam2,A,318,92,0.0,0.0
cam2,B,288,256,20.0,0.0
cam2,C,636,251,20.0,30.0
cam2,D,626,91,0.0,30.0
