camera,label,pixel_x,pixel_y,world_x_cm,world_y_cm
cam1,A,906,230,0.0,0.0
cam1,B,882,101,12.0,0.0
cam1,C,483,82,12.0,30.0
cam1,D,474,218,0.0,30.0
cam2,A,528,89,0.0,0.0
cam2,B,517,205,12.0,0.0
cam2,C,916,198,12.0,30.0
cam2,D,900,81,0.0,30.0
