camera,label,pixel_x,pixel_y,world_x_cm,world_y_cm
cam1,A,997,215,0.0,0.0
cam1,B,955,82,20.0,0.0
cam1,C,679,84,20.0,30.0
cam1,D,686,222,0.0,30.0
cam2,A,324,98,0.0,0.0
cam2,B,295,263,20.0,0.0
cam2,C,638,254,20.0,30.0
cam2,D,631,94,0.0,30.0
