camera,label,pixel_x,pixel_y,world_x_cm,world_y_cm
cam1,A,903,229,0.0,0.0
cam1,B,881,100,12.0,0.0
cam1,C,478,88,12.0,30.0
cam1,D,470,223,0.0,30.0
cam2,A,534,98,0.0,0.0
cam2,B,520,209,12.0,0.0
cam2,C,916,207,12.0,30.0
cam2,D,897,95,0.0,30.0
