camera,label,pixel_x,pixel_y,world_x_cm,world_y_cm
cam1,A,1006,198,0.0,0.0
cam1,B,966,42,20.0,0.0
cam1,C,675,52,20.0,30.0
cam1,D,682,206,0.0,30.0
cam2,A,387,62,0.0,0.0
cam2,B,366,216,20.0,0.0
cam2,C,690,227,20.0,30.0
cam2,D,681,70,0.0,30.0
